MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,Total Fuel Consumption(MPG),CO2EMISSIONS
2014,ACURA,ILX,COMPACT,2,4,AS5,Z,33,196
2014,ACURA,ILX,COMPACT,2.4,4,M6,Z,29,221
2014,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,48,136
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,25,255
2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,27,244
2014,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,28,230
2014,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,28,232
2014,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,25,255
2014,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,24,267
2014,ACURA,TSX,COMPACT,2.4,4,AS5,Z,31,212
2014,ACURA,TSX,COMPACT,2.4,4,M6,Z,29,225
2014,ACURA,TSX,COMPACT,3.5,6,AS5,Z,27,239
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,359
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,19,338
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18,354
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,19,338
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18,354
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,359
2014,AUDI,A4,COMPACT,2,4,AV8,Z,32,202
2014,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,28,230
2014,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,30,214
2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,28,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,28,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,30,214
2014,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,28,235
2014,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,26,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6,AS8,D,34,224
2014,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,25,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6,AS8,D,34,224
2014,AUDI,A8,MID-SIZE,3,6,AS8,Z,25,258
2014,AUDI,A8,MID-SIZE,4,8,AS8,Z,25,260
2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,3,6,AS8,D,34,227
2014,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,25,258
2014,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,23,288
2014,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18,361
2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,3,6,AS8,D,33,230
2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,27,242
2014,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,27,239
2014,AUDI,Q5,SUV - SMALL,3,6,AS8,Z,25,258
2014,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,31,212
2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,3,6,AS8,D,31,246
2014,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,21,304
2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3,6,AS8,D,26,294
2014,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,19,336
2014,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,16,407
2014,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18,354
2014,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,16,409
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,19,336
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,16,407
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18,354
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,16,409
2014,AUDI,RS5,SUBCOMPACT,4.2,8,A7,Z,21,306
2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,21,308
2014,AUDI,RS7,MID-SIZE,4,8,AS8,Z,22,290
2014,AUDI,S4,COMPACT,3,6,A7,Z,25,262
2014,AUDI,S4,COMPACT,3,6,M6,Z,23,285
2014,AUDI,S5,SUBCOMPACT,3,6,A7,Z,25,262
2014,AUDI,S5,SUBCOMPACT,3,6,M6,Z,23,285
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,24,267
2014,AUDI,S6,MID-SIZE,4,8,A7,Z,23,281
2014,AUDI,S7,MID-SIZE,4,8,A7,Z,23,281
2014,AUDI,S8,MID-SIZE,4,8,AS8,Z,22,297
2014,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,22,292
2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,31,209
2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,31,209
2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,27,237
2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,27,237
